,mc,mn,playthrough,mc_onset,mn_onset,timesig,staff,voice,label,alt_label,globalkey,localkey,pedal,chord,special,numeral,form,figbass,changes,relativeroot,phraseend,chord_type,globalkey_is_minor,localkey_is_minor,chord_tones,added_tones,root,bass_note
166,64,63,62,3/4,3/4,2/4,1,1,#viio/v,,G,vi,,#viio/v,,#vii,o,,,v,,o,False,True,"(6, 3, 0)",(),6,6
167,65,64,63,0,0,2/4,1,1,vi,i,G,vi,,vi,,vi,,,,,,m,False,True,"(-4, -7, -3)",(),-4,-4
168,65,64,63,1/4,1/4,2/4,1,1,i6,,G,vi,,i6,,i,,6,,,,m,False,True,"(-3, 1, 0)",(),0,-3
169,65,64,63,1/2,1/2,2/4,1,1,iv,,G,vi,,iv,,iv,,,,,,m,False,True,"(-1, -4, 0)",(),-1,-1
170,65,64,63,3/4,3/4,2/4,1,1,V,,G,vi,,V,,V,,,,,,M,False,True,"(1, 5, 2)",(),1,1
171,66,65,64,0,0,2/4,1,1,i,,G,vi,,i,,i,,,,,,m,False,True,"(0, -3, 1)",(),0,0
172,66,65,64,1/2,1/2,2/4,1,1,iv,,G,vi,,iv,,iv,,,,,,m,False,True,"(-1, -4, 0)",(),-1,-1
173,66,65,64,7/8,7/8,2/4,1,1,V6/iv,,G,vi,,V6/iv,,V,,6,,iv,,M,False,True,"(4, 1, 0)",(),0,4
174,67,66,65,0,0,2/4,1,1,iv,,G,vi,,iv,,iv,,,,,,m,False,True,"(-1, -4, 0)",(),-1,-1
175,67,66,65,1/2,1/2,2/4,1,1,V,,G,vi,,V,,V,,,,,,M,False,True,"(1, 5, 2)",(),1,1
176,68,67,66,0,0,2/4,1,1,V6,,G,vi,,V6,,V,,6,,,,M,False,True,"(5, 2, 1)",(),1,5
177,68,67,66,1/2,1/2,2/4,1,1,i,,G,vi,,i,,i,,,,,,m,False,True,"(0, -3, 1)",(),0,0
178,68,67,66,3/4,3/4,2/4,1,1,iv,,G,vi,,iv,,iv,,,,,,m,False,True,"(-1, -4, 0)",(),-1,-1
179,69,68,67,0,0,2/4,1,1,V(64),,G,vi,,V(64),,V,,,64,,,M,False,True,"(1, 0, -3)",(),1,1
180,69,68,67,1/2,1/2,2/4,1,1,V,,G,vi,,V,,V,,,,,,M,False,True,"(1, 5, 2)",(),1,1
181,70,69,68,0,0,2/4,1,1,i\\,,G,vi,,i,,i,,,,,\\,m,False,True,"(0, -3, 1)",(),0,0
182,70,69,68,3/4,3/4,2/4,1,1,},,G,vi,,,,,,,,,},,False,True,,,,
183,1,1,69,0,0,4/4,1,1,.G.I{,,G,I,,I,,I,,,,,{,M,False,False,"(0, 4, 1)",(),0,0
184,1,1,69,1/2,1/2,4/4,1,1,V,,G,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
185,2,2,70,0,0,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
186,2,2,70,1/2,1/2,4/4,1,1,viio6/V,,G,I,,viio6/V,,vii,o,6,,V,,o,False,False,"(3, 0, 6)",(),6,3
187,2,2,70,3/4,3/4,4/4,1,1,.It6/V,,G,I,,It6/V,It,vii,o,6,b3,V/V,,It,False,False,"(-3, 1, 7)",(),7,-3
188,3,3,71,0,0,4/4,1,1,v,,G,I,,v,,v,,,,,,m,False,False,"(1, -2, 2)",(),1,1
189,3,3,71,1/2,1/2,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
190,4,4,72,0,0,4/4,1,1,viio6/V,,G,I,,viio6/V,,vii,o,6,,V,,o,False,False,"(3, 0, 6)",(),6,3
191,4,4,72,1/4,1/4,4/4,1,1,.I6/V,,G,I,,I6/V,,I,,6,,V,,M,False,False,"(5, 2, 1)",(),1,5
192,4,4,72,1/2,1/2,4/4,1,1,V,,G,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
193,4,4,72,7/8,7/8,4/4,1,1,V7,,G,I,,V7,,V,,7,,,,Mm7,False,False,"(1, 5, 2, -1)",(),1,1
194,5,5,73,0,0,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
195,6,6,74,1/2,1/2,4/4,1,1,V,,G,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
196,6,6,74,3/4,3/4,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
197,7,7,75,0,0,4/4,1,1,V,,G,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
198,7,7,75,1/4,1/4,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
199,7,7,75,1/2,1/2,4/4,1,1,V\\,,G,I,,V,,V,,,,,\\,M,False,False,"(1, 5, 2)",(),1,1
200,8,8,76,0,0,4/4,1,1,V7,,G,I,,V7,,V,,7,,,,Mm7,False,False,"(1, 5, 2, -1)",(),1,1
201,8,8,76,1/2,1/2,4/4,1,1,I64,,G,I,,I64,,I,,64,,,,M,False,False,"(1, 0, 4)",(),0,1
202,9,9,77,0,0,4/4,1,1,V7,,G,I,,V7,,V,,7,,,,Mm7,False,False,"(1, 5, 2, -1)",(),1,1
203,9,9,77,1/2,1/2,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
204,10,10,78,0,0,4/4,1,1,ii2,,G,I,,ii2,,ii,,2,,,,mm7,False,False,"(0, 2, -1, 3)",(),2,0
205,10,10,78,1/2,1/2,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
206,11,11,79,0,0,4/4,1,1,IV,,G,I,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
207,11,11,79,1/4,1/4,4/4,1,1,V,,G,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
208,11,11,79,1/2,1/2,4/4,1,1,I6,,G,I,,I6,,I,,6,,,,M,False,False,"(4, 1, 0)",(),0,4
209,12,12,80,1/2,1/2,4/4,1,1,V(64),,G,I,,V(64),,V,,,64,,,M,False,False,"(1, 0, 4)",(),1,1
210,12,12,80,3/4,3/4,4/4,1,1,V,,G,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
211,13,13,81,0,0,4/4,1,1,I\\,,G,I,,I,,I,,,,,\\,M,False,False,"(0, 4, 1)",(),0,0
212,13,13,81,3/4,3/4,4/4,1,1,},,G,I,,,,,,,,,},,False,False,,,,
213,14,14,82,0,0,4/4,1,1,I{,,G,I,,I,,I,,,,,{,M,False,False,"(0, 4, 1)",(),0,0
214,14,14,82,1/2,1/2,4/4,1,1,V,,G,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
215,15,15,83,0,0,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
216,15,15,83,1/2,1/2,4/4,1,1,viio6/V,,G,I,,viio6/V,,vii,o,6,,V,,o,False,False,"(3, 0, 6)",(),6,3
217,15,15,83,3/4,3/4,4/4,1,1,.It6/V,,G,I,,It6/V,It,vii,o,6,b3,V/V,,It,False,False,"(-3, 1, 7)",(),7,-3
218,16,16,84,0,0,4/4,1,1,V,,G,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
219,16,16,84,1/2,1/2,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
220,17,17,85,0,0,4/4,1,1,viio6/V,,G,I,,viio6/V,,vii,o,6,,V,,o,False,False,"(3, 0, 6)",(),6,3
221,17,17,85,1/4,1/4,4/4,1,1,.It6/V,,G,I,,It6/V,It,vii,o,6,b3,V/V,,It,False,False,"(-3, 1, 7)",(),7,-3
222,17,17,85,1/2,1/2,4/4,1,1,V,,G,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
223,17,17,85,7/8,7/8,4/4,1,1,V7,,G,I,,V7,,V,,7,,,,Mm7,False,False,"(1, 5, 2, -1)",(),1,1
224,18,18,86,0,0,4/4,1,1,I\\,,G,I,,I,,I,,,,,\\,M,False,False,"(0, 4, 1)",(),0,0
225,19,19,87,1/4,1/4,4/4,1,1,},,G,I,,,,,,,,,},,False,False,,,,
226,19,19,87,1/2,1/2,4/4,1,1,I{,,G,I,,I,,I,,,,,{,M,False,False,"(0, 4, 1)",(),0,0
227,20,20,88,0,0,4/4,1,1,V,,G,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
228,20,20,88,1/2,1/2,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
229,21,21,89,0,0,4/4,1,1,viio6,,G,I,,viio6,,vii,o,6,,,,o,False,False,"(2, -1, 5)",(),5,2
230,21,21,89,1/4,1/4,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
231,21,21,89,3/8,3/8,4/4,1,1,viio6/V,,G,I,,viio6/V,,vii,o,6,,V,,o,False,False,"(3, 0, 6)",(),6,3
232,21,21,89,1/2,1/2,4/4,1,1,V.I,,G,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
233,21,21,89,3/4,3/4,4/4,1,1,IV,,G,V,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
234,22,22,90,0,0,4/4,1,1,I,,G,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
235,22,22,90,1/4,1/4,4/4,1,1,IV,,G,V,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
236,22,22,90,1/2,1/2,4/4,1,1,I,,G,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
237,23,23,91,0,0,4/4,1,1,V,,G,V,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
238,23,23,91,1/4,1/4,4/4,1,1,I,,G,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
239,23,23,91,1/2,1/2,4/4,1,1,V,,G,V,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
240,23,23,91,3/4,3/4,4/4,1,1,I,,G,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
241,24,24,92,0,0,4/4,1,1,V,,G,V,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
242,24,24,92,1/4,1/4,4/4,1,1,V,,G,V,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
243,24,24,92,1/2,1/2,4/4,1,1,V,,G,V,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
244,25,25,93,1/2,1/2,4/4,1,1,I,,G,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
245,26,26,94,0,0,4/4,1,1,ii2,,G,V,,ii2,,ii,,2,,,,mm7,False,False,"(0, 2, -1, 3)",(),2,0
246,26,26,94,1/2,1/2,4/4,1,1,I,,G,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
247,27,27,95,0,0,4/4,1,1,IV,,G,V,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
248,27,27,95,1/4,1/4,4/4,1,1,viio6,,G,V,,viio6,,vii,o,6,,,,o,False,False,"(2, -1, 5)",(),5,2
249,27,27,95,1/2,1/2,4/4,1,1,I6,,G,V,,I6,,I,,6,,,,M,False,False,"(4, 1, 0)",(),0,4
250,27,27,95,5/8,5/8,4/4,1,1,V6,,G,V,,V6,,V,,6,,,,M,False,False,"(5, 2, 1)",(),1,5
251,27,27,95,3/4,3/4,4/4,1,1,I,,G,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
252,27,27,95,7/8,7/8,4/4,1,1,I6,,G,V,,I6,,I,,6,,,,M,False,False,"(4, 1, 0)",(),0,4
253,28,28,96,0,0,4/4,1,1,IV,,G,V,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
254,28,28,96,1/4,1/4,4/4,1,1,V,,G,V,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
255,28,28,96,1/2,1/2,4/4,1,1,I6,,G,V,,I6,,I,,6,,,,M,False,False,"(4, 1, 0)",(),0,4
256,28,28,96,5/8,5/8,4/4,1,1,viio,,G,V,,viio,,vii,o,,,,,o,False,False,"(5, 2, -1)",(),5,5
257,28,28,96,3/4,3/4,4/4,1,1,I,,G,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
258,28,28,96,7/8,7/8,4/4,1,1,I6,,G,V,,I6,,I,,6,,,,M,False,False,"(4, 1, 0)",(),0,4
259,29,29,97,0,0,4/4,1,1,IV,,G,V,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
260,29,29,97,1/4,1/4,4/4,1,1,V,,G,V,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
261,29,29,97,1/2,1/2,4/4,1,1,I\\,,G,V,,I,,I,,,,,\\,M,False,False,"(0, 4, 1)",(),0,0
262,29,29,97,5/8,5/8,4/4,1,1,I,,G,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
263,30,30,98,0,0,4/4,1,1,V,,G,V,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
264,30,30,98,1/4,1/4,4/4,1,1,I,,G,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
265,30,30,98,1/2,1/2,4/4,1,1,V,,G,V,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
266,30,30,98,3/4,3/4,4/4,1,1,I,,G,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
267,31,31,99,0,0,4/4,1,1,V,,G,V,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
268,31,31,99,1/2,1/2,4/4,1,1,I,,G,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
269,31,31,99,7/8,7/8,4/4,1,1,IV,,G,V,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
270,32,32,100,0,0,4/4,1,1,V(64),,G,V,,V(64),,V,,,64,,,M,False,False,"(1, 0, 4)",(),1,1
271,32,32,100,1/4,1/4,4/4,1,1,V,,G,V,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
272,32,32,100,1/2,1/2,4/4,1,1,I\\,,G,V,,I,,I,,,,,\\,M,False,False,"(0, 4, 1)",(),0,0
273,32,32,100,3/4,3/4,4/4,1,1,},,G,V,,,,,,,,,},,False,False,,,,
274,33,33,101,0,0,4/4,1,1,I{,,G,V,,I,,I,,,,,{,M,False,False,"(0, 4, 1)",(),0,0
275,33,33,101,1/2,1/2,4/4,1,1,V7/IV,,G,V,,V7/IV,,V,,7,,IV,,Mm7,False,False,"(0, 4, 1, -2)",(),0,0
276,33,33,101,3/4,3/4,4/4,1,1,IV64,,G,V,,IV64,,IV,,64,,,,M,False,False,"(0, -1, 3)",(),-1,0
277,34,34,102,0,0,4/4,1,1,I,,G,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
278,34,34,102,3/8,3/8,4/4,1,1,IV,,G,V,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
279,34,34,102,1/2,1/2,4/4,1,1,I,,G,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
280,35,35,103,0,0,4/4,1,1,IV,,G,V,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
281,35,35,103,1/2,1/2,4/4,1,1,viio6,,G,V,,viio6,,vii,o,6,,,,o,False,False,"(2, -1, 5)",(),5,2
282,35,35,103,3/4,3/4,4/4,1,1,.It6,,G,V,,It6,It,vii,o,6,b3,V,,It,False,False,"(-4, 0, 6)",(),6,-4
283,36,36,104,0,0,4/4,1,1,I\\,,G,V,,I,,I,,,,,\\,M,False,False,"(0, 4, 1)",(),0,0
284,37,37,105,0,0,4/4,1,1,V7/IV,,G,V,,V7/IV,,V,,7,,IV,,Mm7,False,False,"(0, 4, 1, -2)",(),0,0
285,37,37,105,1/4,1/4,4/4,1,1,IV64,,G,V,,IV64,,IV,,64,,,,M,False,False,"(0, -1, 3)",(),-1,0
286,37,37,105,1/2,1/2,4/4,1,1,I,,G,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
287,37,37,105,7/8,7/8,4/4,1,1,IV,,G,V,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
288,38,38,106,0,0,4/4,1,1,I,,G,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
289,38,38,106,1/4,1/4,4/4,1,1,IV6,,G,V,,IV6,,IV,,6,,,,M,False,False,"(3, 0, -1)",(),-1,3
290,39,39,107,0,0,4/4,1,1,I\\,,G,V,,I,,I,,,,,\\,M,False,False,"(0, 4, 1)",(),0,0
291,39,39,107,1/2,1/2,4/4,1,1,I.I6,,G,I,,I6,,I,,6,,,,M,False,False,"(4, 1, 0)",(),0,4
292,39,39,107,3/4,3/4,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
293,40,40,108,0,0,4/4,1,1,IV,,G,I,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
294,40,40,108,1/2,1/2,4/4,1,1,viio,,G,I,,viio,,vii,o,,,,,o,False,False,"(5, 2, -1)",(),5,5
295,41,41,109,0,0,4/4,1,1,iii,,G,I,,iii,,iii,,,,,,m,False,False,"(4, 1, 5)",(),4,4
296,41,41,109,1/2,1/2,4/4,1,1,vi,,G,I,,vi,,vi,,,,,,m,False,False,"(3, 0, 4)",(),3,3
297,42,42,110,0,0,4/4,1,1,ii,,G,I,,ii,,ii,,,,,,m,False,False,"(2, -1, 3)",(),2,2
298,42,42,110,1/2,1/2,4/4,1,1,V7,,G,I,,V7,,V,,7,,,,Mm7,False,False,"(1, 5, 2, -1)",(),1,1
299,43,43,111,0,0,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
300,43,43,111,1/2,1/2,4/4,1,1,ii2,,G,I,,ii2,,ii,,2,,,,mm7,False,False,"(0, 2, -1, 3)",(),2,0
301,44,44,112,0,0,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
302,44,44,112,1/2,1/2,4/4,1,1,IV,,G,I,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
303,44,44,112,3/4,3/4,4/4,1,1,viio6,,G,I,,viio6,,vii,o,6,,,,o,False,False,"(2, -1, 5)",(),5,2
304,45,45,113,0,0,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
305,45,45,113,1/2,1/2,4/4,1,1,ii6,,G,I,,ii6,,ii,,6,,,,m,False,False,"(-1, 3, 2)",(),2,-1
306,45,45,113,3/4,3/4,4/4,1,1,V,,G,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
307,46,46,114,0,0,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
308,46,46,114,1/2,1/2,4/4,1,1,V,,G,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
309,46,46,114,3/4,3/4,4/4,1,1,V7,,G,I,,V7,,V,,7,,,,Mm7,False,False,"(1, 5, 2, -1)",(),1,1
310,47,47,115,0,0,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
311,47,47,115,1/2,1/2,4/4,1,1,V,,G,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
312,48,48,116,0,0,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
313,48,48,116,1/2,1/2,4/4,1,1,ii2,,G,I,,ii2,,ii,,2,,,,mm7,False,False,"(0, 2, -1, 3)",(),2,0
314,49,49,117,0,0,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
315,49,49,117,1/2,1/2,4/4,1,1,IV,,G,I,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
316,49,49,117,3/4,3/4,4/4,1,1,ii,,G,I,,ii,,ii,,,,,,m,False,False,"(2, -1, 3)",(),2,2
317,50,50,118,0,0,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
318,51,51,119,0,0,4/4,1,1,IV,,G,I,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
319,51,51,119,1/4,1/4,4/4,1,1,V,,G,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
320,51,51,119,1/2,1/2,4/4,1,1,I6,,G,I,,I6,,I,,6,,,,M,False,False,"(4, 1, 0)",(),0,4
321,52,52,120,0,0,4/4,1,1,ii6,,G,I,,ii6,,ii,,6,,,,m,False,False,"(-1, 3, 2)",(),2,-1
322,52,52,120,1/4,1/4,4/4,1,1,V,,G,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
323,52,52,120,1/2,1/2,4/4,1,1,I}{,,G,I,,I,,I,,,,,}{,M,False,False,"(0, 4, 1)",(),0,0
324,53,53,121,0,0,4/4,1,1,V,,G,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
325,53,53,121,1/2,1/2,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
326,54,54,122,0,0,4/4,1,1,viio6/V,,G,I,,viio6/V,,vii,o,6,,V,,o,False,False,"(3, 0, 6)",(),6,3
327,54,54,122,1/4,1/4,4/4,1,1,.It6/V,,G,I,,It6/V,It,vii,o,6,b3,V/V,,It,False,False,"(-3, 1, 7)",(),7,-3
328,54,54,122,1/2,1/2,4/4,1,1,V,,G,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
329,54,54,122,7/8,7/8,4/4,1,1,V7,,G,I,,V7,,V,,7,,,,Mm7,False,False,"(1, 5, 2, -1)",(),1,1
330,55,55,123,0,0,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
331,56,56,124,1/4,1/4,4/4,1,1,I6,,G,I,,I6,,I,,6,,,,M,False,False,"(4, 1, 0)",(),0,4
332,56,56,124,1/2,1/2,4/4,1,1,ii6,,G,I,,ii6,,ii,,6,,,,m,False,False,"(-1, 3, 2)",(),2,-1
333,56,56,124,3/4,3/4,4/4,1,1,V,,G,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
334,58,57,125,0,0,2/4,1,1,I\\,,G,vi,,I,,I,,,,,\\,M,False,True,"(0, 4, 1)",(),0,0
335,58,57,125,1/4,1/4,2/4,1,1,},,G,vi,,,,,,,,,},,False,True,,,,
