,mc,mn,playthrough,mc_onset,mn_onset,timesig,staff,voice,label,alt_label,offset_x,offset_y,offset,globalkey,localkey,pedal,chord,special,numeral,form,figbass,changes,relativeroot,phraseend,chord_type,globalkey_is_minor,localkey_is_minor,chord_tones,added_tones,root,bass_note
0,1,1,0,0,0,3/8,1,1,.Bb.I{,,,,,Bb,I,,I,,I,,,,,{,M,False,False,"(0, 4, 1)",(),0,0
1,3,3,2,0,0,3/8,1,1,IV,,,,,Bb,I,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
2,3,3,2,1/4,1/4,3/8,1,1,viio6,,,,,Bb,I,,viio6,,vii,o,6,,,,o,False,False,"(2, -1, 5)",(),5,2
3,4,4,3,0,0,3/8,1,1,I,,,,,Bb,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
4,5,5,4,0,0,3/8,1,1,IV,,,,,Bb,I,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
5,5,5,4,1/4,1/4,3/8,1,1,viio6,,,,,Bb,I,,viio6,,vii,o,6,,,,o,False,False,"(2, -1, 5)",(),5,2
6,6,6,5,0,0,3/8,1,1,I\\,,,,,Bb,I,,I,,I,,,,,\\,M,False,False,"(0, 4, 1)",(),0,0
7,7,7,6,0,0,3/8,1,1,I,,,,,Bb,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
8,8,8,7,0,0,3/8,1,1,V,,,,,Bb,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
9,8,8,7,1/8,1/8,3/8,1,1,viio6/V,,,,,Bb,I,,viio6/V,,vii,o,6,,V,,o,False,False,"(3, 0, 6)",(),6,3
10,8,8,7,1/4,1/4,3/8,1,1,V,I/V,,,,Bb,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
11,9,9,8,0,0,3/8,1,1,viio/V,,,,,Bb,I,,viio/V,,vii,o,,,V,,o,False,False,"(6, 3, 0)",(),6,6
12,10,10,9,0,0,3/8,1,1,I/V\\,,,,,Bb,I,,I/V,,I,,,,V,\\,M,False,False,"(1, 5, 2)",(),1,1
13,10,10,9,1/8,1/8,3/8,1,1,}{,,,,,Bb,I,,,,,,,,,}{,,False,False,,,,
14,11,11,10,0,0,3/8,1,1,V.I,,,,,Bb,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
15,11,11,10,1/4,1/4,3/8,1,1,IV,,,,,Bb,V,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
16,12,12,11,0,0,3/8,1,1,V(64),,-0.481955,-5.82102,/,Bb,V,,V(64),,V,,,64,,,M,False,False,"(1, 0, 4)",(),1,1
17,12,12,11,1/8,1/8,3/8,1,1,V,,,,,Bb,V,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
18,13,13,12,0,0,3/8,1,1,IV,,,,,Bb,V,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
19,13,13,12,1/8,1/8,3/8,1,1,V65,,,,,Bb,V,,V65,,V,,65,,,,Mm7,False,False,"(5, 2, -1, 1)",(),1,5
20,14,14,13,0,0,3/8,1,1,I,,,,,Bb,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
21,14,14,13,1/8,1/8,3/8,1,1,}{,,,,,Bb,V,,,,,,,,,}{,,False,False,,,,
22,15,15,14,0,0,3/8,1,1,I,,,,,Bb,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
23,16,16,15,0,0,3/8,1,1,viio6,,,,,Bb,V,,viio6,,vii,o,6,,,,o,False,False,"(2, -1, 5)",(),5,2
24,16,16,15,1/8,1/8,3/8,1,1,I,,,,,Bb,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
25,17,17,16,0,0,3/8,1,1,V2/V,,,,,Bb,V,,V2/V,,V,,2,,V,,Mm7,False,False,"(0, 2, 6, 3)",(),2,0
26,17,17,16,1/4,1/4,3/8,1,1,V6,,,,,Bb,V,,V6,,V,,6,,,,M,False,False,"(5, 2, 1)",(),1,5
27,18,18,17,0,0,3/8,1,1,I,,,,,Bb,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
28,18,18,17,1/8,1/8,3/8,1,1,V(64),,,,,Bb,V,,V(64),,V,,,64,,,M,False,False,"(1, 0, 4)",(),1,1
29,18,18,17,1/4,1/4,3/8,1,1,V,,,,,Bb,V,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
30,19,19,18,0,0,3/8,1,1,I\\,,,,,Bb,V,,I,,I,,,,,\\,M,False,False,"(0, 4, 1)",(),0,0
31,19,19,18,1/8,1/8,3/8,1,1,I,,,,,Bb,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
32,20,20,19,0,0,3/8,1,1,V(64),,,,,Bb,V,,V(64),,V,,,64,,,M,False,False,"(1, 0, 4)",(),1,1
33,20,20,19,1/8,1/8,3/8,1,1,V,,,,,Bb,V,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
34,21,21,20,0,0,3/8,1,1,V7,,,,,Bb,V,,V7,,V,,7,,,,Mm7,False,False,"(1, 5, 2, -1)",(),1,1
35,21,21,20,1/8,1/8,3/8,1,1,I,,,,,Bb,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
36,22,22,21,0,0,3/8,1,1,I,,,,,Bb,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
37,22,22,21,1/8,1/8,3/8,1,1,IV,,,,,Bb,V,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
38,23,23,22,0,0,3/8,1,1,ii,,,,,Bb,V,,ii,,ii,,,,,,m,False,False,"(2, -1, 3)",(),2,2
39,23,23,22,1/4,1/4,3/8,1,1,V,,,,,Bb,V,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
40,24,24,23,0,0,3/8,1,1,I,,,,,Bb,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
41,24,24,23,1/8,1/8,3/8,1,1,V(64),,,,,Bb,V,,V(64),,V,,,64,,,M,False,False,"(1, 0, 4)",(),1,1
42,24,24,23,1/4,1/4,3/8,1,1,V,,,,,Bb,V,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
43,25,25,24,0,0,3/8,1,1,I},,,,,Bb,V,,I,,I,,,,,},M,False,False,"(0, 4, 1)",(),0,0
44,25,25,24,1/8,1/8,3/8,1,1,{,,,,,Bb,V,,,,,,,,,{,,False,False,,,,
45,26,26,25,0,0,3/8,1,1,I,,,,,Bb,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
46,27,27,26,0,0,3/8,1,1,#viio7/ii,,,,,Bb,V,,#viio7/ii,,#vii,o,7,,ii,,o7,False,False,"(7, 4, 1, -2)",(),7,7
47,28,28,27,0,0,3/8,1,1,i/ii,,,,,Bb,V,,i/ii,,i,,,,ii,,m,False,False,"(2, -1, 3)",(),2,2
48,29,29,28,0,0,3/8,1,1,#viio7/ii,,,,,Bb,V,,#viio7/ii,,#vii,o,7,,ii,,o7,False,False,"(7, 4, 1, -2)",(),7,7
49,30,30,29,0,0,3/8,1,1,i/ii,,,,,Bb,V,,i/ii,,i,,,,ii,,m,False,False,"(2, -1, 3)",(),2,2
50,30,30,29,1/8,1/8,3/8,1,1,}{,,,,,Bb,V,,,,,,,,,}{,,False,False,,,,
51,31,31,30,0,0,3/8,1,1,ii{,,,,,Bb,V,,ii,,ii,,,,,{,m,False,False,"(2, -1, 3)",(),2,2
52,32,32,31,1/4,1/4,3/8,1,1,iv6,,,,,Bb,V,,iv6,,iv,,6,,,,m,False,False,"(-4, 0, -1)",(),-1,-4
53,33,33,32,0,0,3/8,1,1,viio7,,,,,Bb,V,,viio7,,vii,o,7,,,,o7,False,False,"(5, 2, -1, -4)",(),5,5
54,34,34,33,0,0,3/8,1,1,I,,,,,Bb,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
55,35,35,34,0,0,3/8,1,1,viio7,,,,,Bb,V,,viio7,,vii,o,7,,,,o7,False,False,"(5, 2, -1, -4)",(),5,5
56,36,36,35,0,0,3/8,1,1,I\\,,,,,Bb,V,,I,,I,,,,,\\,M,False,False,"(0, 4, 1)",(),0,0
57,36,36,35,1/8,1/8,3/8,1,1,}{,,,,,Bb,V,,,,,,,,,}{,,False,False,,,,
58,37,37,36,0,0,3/8,1,1,I.I,,,,,Bb,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
59,38,38,37,0,0,3/8,1,1,viio43,,-3.85564,-4.37515,/,Bb,I,,viio43,,vii,o,43,,,,o7,False,False,"(-1, -4, 5, 2)",(),5,-1
60,38,38,37,1/8,1/8,3/8,1,1,I6,,,,,Bb,I,,I6,,I,,6,,,,M,False,False,"(4, 1, 0)",(),0,4
61,39,39,38,0,0,3/8,1,1,I,,,,,Bb,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
62,40,40,39,0,0,3/8,1,1,viio43,,,,,Bb,I,,viio43,,vii,o,43,,,,o7,False,False,"(-1, -4, 5, 2)",(),5,-1
63,40,40,39,1/8,1/8,3/8,1,1,I6,,,,,Bb,I,,I6,,I,,6,,,,M,False,False,"(4, 1, 0)",(),0,4
64,41,41,40,0,0,3/8,1,1,IV6,,,,,Bb,I,,IV6,,IV,,6,,,,M,False,False,"(3, 0, -1)",(),-1,3
65,42,42,41,0,0,3/8,1,1,V65,,,,,Bb,I,,V65,,V,,65,,,,Mm7,False,False,"(5, 2, -1, 1)",(),1,5
66,43,43,42,0,0,3/8,1,1,viio,,,,,Bb,I,,viio,,vii,o,,,,,o,False,False,"(5, 2, -1)",(),5,5
67,44,44,43,0,0,3/8,1,1,V65,,,,,Bb,I,,V65,,V,,65,,,,Mm7,False,False,"(5, 2, -1, 1)",(),1,5
68,45,45,44,0,0,3/8,1,1,I,,,,,Bb,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
69,45,45,44,1/8,1/8,3/8,1,1,ii6,,,,,Bb,I,,ii6,,ii,,6,,,,m,False,False,"(-1, 3, 2)",(),2,-1
70,45,45,44,1/4,1/4,3/8,1,1,V,,,,,Bb,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
71,46,46,45,0,0,3/8,1,1,I,,,,,Bb,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
72,47,47,46,0,0,3/8,1,1,V,,,,,Bb,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
73,48,48,47,0,0,3/8,1,1,V7,,,,,Bb,I,,V7,,V,,7,,,,Mm7,False,False,"(1, 5, 2, -1)",(),1,1
74,49,49,48,0,0,3/8,1,1,i,,,,,Bb,I,,i,,i,,,,,,m,False,False,"(0, -3, 1)",(),0,0
75,50,50,49,0,0,3/8,1,1,.bII6,,,,,Bb,I,,bII6,,bII,,6,,,,M,False,False,"(-1, -4, -5)",(),-5,-1
76,51,51,50,0,0,3/8,1,1,viio/V,,,,,Bb,I,,viio/V,,vii,o,,,V,,o,False,False,"(6, 3, 0)",(),6,6
77,52,52,51,0,0,3/8,1,1,V,,,,,Bb,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
78,53,53,52,0,0,3/8,1,1,V7,,,,,Bb,I,,V7,,V,,7,,,,Mm7,False,False,"(1, 5, 2, -1)",(),1,1
79,54,54,53,0,0,3/8,1,1,V65,,,,,Bb,I,,V65,,V,,65,,,,Mm7,False,False,"(5, 2, -1, 1)",(),1,5
80,55,55,54,0,0,3/8,1,1,I,,,,,Bb,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
81,55,55,54,1/8,1/8,3/8,1,1,V(4),,,,,Bb,I,,V(4),,V,,,4,,,M,False,False,"(1, 0, 2)",(),1,1
82,55,55,54,1/4,1/4,3/8,1,1,V,,,,,Bb,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
83,56,56,55,0,0,3/8,1,1,I\\,,,,,Bb,I,,I,,I,,,,,\\,M,False,False,"(0, 4, 1)",(),0,0
84,56,56,55,1/8,1/8,3/8,1,1,}{,,,,,Bb,I,,,,,,,,,}{,,False,False,,,,
85,57,57,56,0,0,3/8,1,1,I6,,,,,Bb,I,,I6,,I,,6,,,,M,False,False,"(4, 1, 0)",(),0,4
86,57,57,56,1/8,1/8,3/8,1,1,viio6,,,,,Bb,I,,viio6,,vii,o,6,,,,o,False,False,"(2, -1, 5)",(),5,2
87,57,57,56,1/4,1/4,3/8,1,1,I,,,,,Bb,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
88,58,58,57,0,0,3/8,1,1,ii6,,,,,Bb,I,,ii6,,ii,,6,,,,m,False,False,"(-1, 3, 2)",(),2,-1
89,59,59,58,0,0,3/8,1,1,I,,,,,Bb,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
90,60,60,59,0,0,3/8,1,1,IV,,,,,Bb,I,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
91,60,60,59,1/8,1/8,3/8,1,1,V,,,,,Bb,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
92,60,60,59,1/4,1/4,3/8,1,1,V7,,,,,Bb,I,,V7,,V,,7,,,,Mm7,False,False,"(1, 5, 2, -1)",(),1,1
93,61,61,60,0,0,3/8,1,1,I,,,,,Bb,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
94,62,62,61,0,0,3/8,1,1,V(64),,,,,Bb,I,,V(64),,V,,,64,,,M,False,False,"(1, 0, 4)",(),1,1
95,62,62,61,1/8,1/8,3/8,1,1,V,,,,,Bb,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
96,63,63,62,0,0,3/8,1,1,V7,,,,,Bb,I,,V7,,V,,7,,,,Mm7,False,False,"(1, 5, 2, -1)",(),1,1
97,63,63,62,1/8,1/8,3/8,1,1,I,,,,,Bb,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
98,64,64,63,0,0,3/8,1,1,I,,,,,Bb,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
99,64,64,63,1/8,1/8,3/8,1,1,ii,,,,,Bb,I,,ii,,ii,,,,,,m,False,False,"(2, -1, 3)",(),2,2
100,65,65,64,1/8,1/8,3/8,1,1,I,,,,,Bb,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
101,65,65,64,1/4,1/4,3/8,1,1,viio6/V,,,,,Bb,I,,viio6/V,,vii,o,6,,V,,o,False,False,"(3, 0, 6)",(),6,3
102,66,66,65,0,0,3/8,1,1,V,,,,,Bb,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
103,67,67,66,0,0,3/8,1,1,V7,,,,,Bb,I,,V7,,V,,7,,,,Mm7,False,False,"(1, 5, 2, -1)",(),1,1
104,67,67,66,1/8,1/8,3/8,1,1,I,,,,,Bb,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
105,67,67,66,1/4,1/4,3/8,1,1,viio6,,-1.92782,-0.519511,/,Bb,I,,viio6,,vii,o,6,,,,o,False,False,"(2, -1, 5)",(),5,2
106,68,68,67,0,0,3/8,1,1,I,,,,,Bb,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
107,69,69,68,1/8,1/8,3/8,1,1,V(4),,,,,Bb,I,,V(4),,V,,,4,,,M,False,False,"(1, 0, 2)",(),1,1
108,69,69,68,1/4,1/4,3/8,1,1,V,,,,,Bb,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
109,70,70,69,0,0,3/8,1,1,I},,,,,Bb,I,,I,,I,,,,,},M,False,False,"(0, 4, 1)",(),0,0
110,70,70,69,1/8,1/8,3/8,1,1,vi.i{,,,,,Bb,vi,,i,,i,,,,,{,m,False,True,"(0, -3, 1)",(),0,0
111,72,71,70,0,0,3/8,1,1,#viio7,,,,,Bb,vi,,#viio7,,#vii,o,7,,,,o7,False,True,"(5, 2, -1, -4)",(),5,5
112,73,72,71,0,0,3/8,1,1,i,,,,,Bb,vi,,i,,i,,,,,,m,False,True,"(0, -3, 1)",(),0,0
113,73,72,71,1/4,1/4,3/8,1,1,V65/V,,,,,Bb,vi,,V65/V,,V,,65,,V,,Mm7,False,True,"(6, 3, 0, 2)",(),2,6
114,74,73,72,0,0,3/8,1,1,V(64),,,,,Bb,vi,,V(64),,V,,,64,,,M,False,True,"(1, 0, -3)",(),1,1
115,74,73,72,1/8,1/8,3/8,1,1,V,,,,,Bb,vi,,V,,V,,,,,,M,False,True,"(1, 5, 2)",(),1,1
116,75,74,73,0,0,3/8,1,1,V7,,,,,Bb,vi,,V7,,V,,7,,,,Mm7,False,True,"(1, 5, 2, -1)",(),1,1
117,76,75,74,0,0,3/8,1,1,V7(+9),,-0.240977,-5.33906,/,Bb,vi,,V7(+9),,V,,7,+9,,,Mm7,False,True,"(1, 5, 2, -1)","(-4,)",1,1
118,78,77,76,0,0,3/8,1,1,i,,-0.481955,-5.33906,/,Bb,vi,,i,,i,,,,,,m,False,True,"(0, -3, 1)",(),0,0
119,78,77,76,1/4,1/4,3/8,1,1,V,,,,,Bb,vi,,V,,V,,,,,,M,False,True,"(1, 5, 2)",(),1,1
120,79,78,77,0,0,3/8,1,1,i,,,,,Bb,vi,,i,,i,,,,,,m,False,True,"(0, -3, 1)",(),0,0
121,80,79,78,0,0,3/8,1,1,.It6/V,,,,,Bb,vi,,It6/V,It,vii,o,6,b3,V/V,,It,False,True,"(-3, 1, 7)",(),7,-3
122,84,83,82,0,0,3/8,1,1,V,,,,,Bb,vi,,V,,V,,,,,,M,False,True,"(1, 5, 2)",(),1,1
123,84,83,82,1/8,1/8,3/8,1,1,}{,,,,,Bb,vi,,,,,,,,,}{,,False,True,,,,
124,85,84,83,0,0,3/8,1,1,V6/iv,,,,,Bb,vi,,V6/iv,,V,,6,,iv,,M,False,True,"(4, 1, 0)",(),0,4
125,86,85,84,0,0,3/8,1,1,iv,,,,,Bb,vi,,iv,,iv,,,,,,m,False,True,"(-1, -4, 0)",(),-1,-1
126,87,86,85,0,0,3/8,1,1,V6/III,,,,,Bb,vi,,V6/III,,V,,6,,III,,M,False,True,"(2, -1, -2)",(),-2,2
127,88,87,86,0,0,3/8,1,1,III,,,,,Bb,vi,,III,,III,,,,,,M,False,True,"(-3, 1, -2)",(),-3,-3
128,89,88,87,0,0,3/8,1,1,i,,,,,Bb,vi,,i,,i,,,,,,m,False,True,"(0, -3, 1)",(),0,0
